date,WGT_ya_n,WGT_pa_n,WGT_oa_n
01-Oct-2012,1529275.744750977,13209190.60498047,4217946.685058594
01-Nov-2012,1376097.448852539,12763662.52380371,4322204.197265625
01-Dec-2012,1471796.012329102,13170999.1842041,4129467.456298828
01-Jan-2013,1731679.30859375,13220208.449646,4142873.426452637
01-Feb-2013,1770775.12902832,15166716.09259033,5119263.868652344
01-Mar-2013,1580157.106079102,15184774.00061035,5083603.78112793
01-Apr-2013,1591712.404052734,14389907.22241211,4568213.661132813
01-May-2013,1627864.719360352,14049872.01049805,4638740.022644043
01-Jun-2013,1589067.938354492,13977985.82507324,4298761.781311035
01-Jul-2013,1862623.554077148,12974187.92614746,4066499.420654297
01-Aug-2013,1734095.182250977,12760636.20935059,4247532.867736816
01-Sep-2013,1591530.076782227,13428671.73071289,4221049.182250977
01-Oct-2013,1758519.250854492,13039636.54931641,4053510.661865234
01-Nov-2013,1347855.073242188,12500170.8729248,4241133.958007813
01-Dec-2013,1767989.999633789,12830067.86621094,4486357.388305664
01-Jan-2014,1662108.006958008,13347913.98962402,4379692.54473877
01-Feb-2014,2076853.214233398,14810359.23596191,5101709.50769043
01-Mar-2014,1480565.957397461,14621672.41333008,5231029.551635742
01-Apr-2014,1600223.331054688,13723452.10107422,4290474.871459961
01-May-2014,1520024.364868164,13477977.73254395,4543406.491455078
01-Jun-2014,1882425.557617188,12635816.95935059,4317345.07434082
01-Jul-2014,2106732.134643555,12687714.94415283,4055656.309204102
01-Aug-2014,1685714.365478516,12709935.53765869,4209983.314331055
01-Sep-2014,1620325.442504883,11586519.86828613,3933401.256713867
01-Oct-2014,1517494.573425293,11768208.34558105,4168570.430175781
01-Nov-2014,1139787.08984375,10210324.99938965,3379954.719177246
01-Dec-2014,1226474.125488281,10348150.56652832,3513821.778320313
01-Jan-2015,1112265.8984375,10046330.9631958,3792219.174316406
01-Feb-2015,1159591.260986328,11989157.68533325,4005319.59967041
01-Mar-2015,1594331.87121582,11951608.76702881,4103977.61315918
01-Apr-2015,1273222.423980713,10183718.2421875,3573372.622558594
01-May-2015,1155710.587280273,10978940.57342529,3672337.265930176
01-Jun-2015,1247039.521484375,10115954.71661377,3621921.454223633
01-Jul-2015,1374113.742553711,9528294.979614258,3368487.564331055
01-Aug-2015,1608736.107299805,10595542.66033936,3493293.411560059
01-Sep-2015,1150982.67175293,10329705.18408203,3210195.236694336
01-Oct-2015,1297605.066772461,10648710.31469727,3469147.994873047
01-Nov-2015,1508413.932983398,12358148.41064453,3885874.731750488
01-Dec-2015,1709205.261230469,12629285.1206665,4498462.727050781
01-Jan-2016,1604900.580444336,12621834.8616333,4362904.415161133
01-Feb-2016,1714613.024902344,12845032.51269531,4423418.25
01-Mar-2016,1496048.030700684,13276647.57232666,4545902.655395508
01-Apr-2016,1484488.421142578,13745019.92791748,4231546.971923828
01-May-2016,1274085.860351563,12470977.92541504,4249430.230895996
01-Jun-2016,1919787.62878418,11220670.96044922,3977784.893432617
01-Jul-2016,1459164.533935547,10722413.81567383,3989878.560302734
01-Aug-2016,1687027.46862793,11729525.87969971,3620468.690307617
01-Sep-2016,1228035.080444336,11691573.39825439,3782103.401000977
01-Oct-2016,1359814.125488281,12429217.80297852,4588755.983886719
01-Nov-2016,1574804.38079834,11776451.89508057,4183061.414489746
01-Dec-2016,1506590.177734375,12263661.04925537,4323622.010009766
01-Jan-2017,1433246.229858398,12444142.33679199,4693032.598571777
01-Feb-2017,1568879.303955078,14137182.09533691,4854650.003662109
01-Mar-2017,1524724.36730957,13310566.85675049,5055994.750366211
01-Apr-2017,1415844.650512695,12929134.0824585,4671425.306396484
01-May-2017,1653789.766357422,12164356.09008789,4415708.332641602
01-Jun-2017,2017707.989135742,11749570.44317627,4434465.534973145
01-Jul-2017,1894347.269287109,11232371.38726807,4173972.574951172
01-Aug-2017,1698314.269287109,12565115.78674316,4588930.401428223
01-Sep-2017,1493205.202392578,12198268.48156738,4775327.967102051
01-Oct-2017,1666012.239868164,12518587.42578125,4590630.684997559
01-Nov-2017,1361890.467956543,12096519.56408691,4522323.543945313
01-Dec-2017,1618609.232788086,12278345.86151123,4490572.262634277
01-Jan-2018,1319591.263305664,12458794.68322754,4435303.233703613
01-Feb-2018,1690569.556274414,14134400.3336792,4928114.712646484
01-Mar-2018,1861541.303833008,14211725.20587158,4924087.014526367
01-Apr-2018,1712813.209350586,13101837.54394531,4390808.317260742
01-May-2018,1537704.677001953,13173789.4574585,4551484.905273438
01-Jun-2018,2124597.203613281,12726771.56292725,4243703.671325684
01-Jul-2018,1734419.71875,11985148.02990723,4217619.671386719
01-Aug-2018,1555414.921875,12519555.65222168,4009984.75
01-Sep-2018,1276461.935424805,11951199.89367676,4206888.051879883
01-Oct-2018,1635160.35949707,11915381.29412842,4379790.872436523
01-Nov-2018,1321696.754516602,11779452.23352051,4237208.506896973
01-Dec-2018,1490769.962036133,12141575.54345703,4449148.296691895
01-Jan-2019,1500301.490234375,12107035.96923828,4536134.406738281
01-Feb-2019,1807966.21862793,13442829.09655762,4992789.118286133
01-Mar-2019,1389583.843505859,13946881.85723877,5432063.282897949
01-Apr-2019,1414587.414916992,13656977.72064209,4473511.166748047
01-May-2019,1710101.348266602,12994817.60430908,4608581.991821289
01-Jun-2019,1742504.616455078,12929538.96826172,3861808.328735352
01-Jul-2019,2095372.664672852,13525017.36108398,4672510.174560547
01-Aug-2019,1541894.467163086,11660879.17590332,4180859.557128906
01-Sep-2019,1594024.355407715,11961202.56896973,4477373.055053711
01-Oct-2019,1501663.694946289,12457238.46154785,4390776.371826172
01-Nov-2019,1494680.919677734,12310045.46459961,4858279.235717773
01-Dec-2019,1563447.973144531,13772449.38220215,4223535.865722656
01-Jan-2020,1615775.006469727,11860091.38793945,4864258.055786133
01-Feb-2020,1390240.874755859,13182274.6184082,4802796.204162598
01-Mar-2020,1710155.468994141,14081812.90093994,5244475.87677002
01-Apr-2020,993506.6446533203,11588802.13043213,3968193.606506348
01-May-2020,1091373.880981445,11341914.08300781,4044909.87487793
01-Jun-2020,1653104.813476563,11741152.22399902,4155422.492553711
01-Jul-2020,1558694.834228516,12301940.34240723,3968322.170776367
01-Aug-2020,1555298.974487305,12778138.5213623,4500020.821533203
01-Sep-2020,1252537.683105469,11164452.8394165,3788586.351928711
01-Oct-2020,1392561.367431641,11709453.71899414,4519260.433532715
01-Nov-2020,1623370.219970703,11379758.18237305,4068016.807006836
01-Dec-2020,1603707.463378906,11909354.9888916,4458812.481689453
01-Jan-2021,1295169.036132813,12620474.6105957,4608332.706665039
01-Feb-2021,1690147.361206055,13925763.22180176,5316389.701293945
01-Mar-2021,1399412.079956055,12466199.75915527,4831072.006225586
01-Apr-2021,1103131.753173828,11891160.02978516,3879259.741943359
01-May-2021,1135102.630249023,10644062.83398438,3706550.64276123
01-Jun-2021,963331.8580322266,10248475.9354248,3652911.027099609
01-Jul-2021,1512664.492431641,8856024.015136719,3648258.644348145
01-Aug-2021,1420984.95703125,9861244.530883789,3276603.647460938
01-Sep-2021,1354706.288574219,10708048.48693848,4194191.258789063
01-Oct-2021,1368134.116210938,11718883.21325684,4064837.055053711
01-Nov-2021,1493205.292480469,12625339.97497559,4222167.804931641
01-Dec-2021,856437.3471679688,11629764.20483398,3839366.033447266
01-Jan-2022,1188608.376342773,11477404.3026123,4325612.428955078
01-Feb-2022,1562860.431152344,12810813.67822266,4705955.517944336
01-Mar-2022,1818889.975585938,12458513.87561035,5123240.267456055
01-Apr-2022,1357973.307006836,12216916.04675293,4751126.740234375
