date,WGT_le_n,WGT_ae_n,WGT_de_n
01-Jul-2013,10420705.05395508,2188009.494262695,6294596.352661133
01-Aug-2013,9628906.127197266,2310840.40612793,6802517.726013184
01-Sep-2013,9715603.303588867,2252991.352172852,7272656.333984375
01-Oct-2013,9311063.423706055,2479731.446899414,7060871.591430664
01-Nov-2013,8707331.176391602,2500821.426635742,6881007.301147461
01-Dec-2013,10350891.49291992,2216513.607421875,6517010.153808594
01-Jan-2014,9621681.833862305,2119216.993530273,7648815.713928223
01-Feb-2014,11001140.80883789,2733932.195678711,8253848.953369141
01-Mar-2014,10792408.85864258,2513245.467407227,8027613.596313477
01-Apr-2014,9655734.985473633,2661445.849487305,7296969.46862793
01-May-2014,10162939.07653809,2196996.852050781,7181472.66027832
01-Jun-2014,9811471.961181641,2219502.547851563,6804613.082275391
01-Jul-2014,9350376.913452148,2172070.7109375,7327655.76361084
01-Aug-2014,9749769.937744141,2224492.267578125,6631371.012145996
01-Sep-2014,9150730.513000488,1987389.952148438,6002126.102355957
01-Oct-2014,8985565.28137207,2188868.218444824,6279839.849365234
01-Nov-2014,7453308.925476074,1608709.362670898,5668048.520263672
01-Dec-2014,7721006.54699707,1628010.615966797,5739429.307373047
01-Jan-2015,7196170.061401367,1737026.432312012,6017619.542236328
01-Feb-2015,7823463.265777588,2009043.253417969,7321562.026794434
01-Mar-2015,8652403.248962402,2090975.070129395,6906539.932312012
01-Apr-2015,7001466.635101318,1795853.923400879,6232992.730224609
01-May-2015,7498890.307006836,1601019.819946289,6707078.299682617
01-Jun-2015,7580377.621887207,1591568.267456055,5812969.802978516
01-Jul-2015,7025200.828308105,1836386.53527832,5409308.922912598
01-Aug-2015,7858165.690002441,1564165.143371582,6275241.345825195
01-Sep-2015,6818189.818603516,1565813.221557617,6306880.052368164
01-Oct-2015,7463722.984558105,1706257.026977539,6245483.364807129
01-Nov-2015,9041481.459594727,2062012.775024414,6648942.840759277
01-Dec-2015,9047099.980651855,2047790.666137695,7742062.462158203
01-Jan-2016,8979360.177734375,2221909.988037109,7388369.691467285
01-Feb-2016,9270336.225830078,2281995.869506836,7430731.692260742
01-Mar-2016,9533010.210571289,2194851.237304688,7590736.810546875
01-Apr-2016,9573900.469726563,2109455.864929199,7777698.986328125
01-May-2016,9239515.519714355,1983505.690795898,6771472.806152344
01-Jun-2016,8324066.700378418,2049393.34753418,6744783.434753418
01-Jul-2016,7948827.602294922,1990960.215087891,6231669.092529297
01-Aug-2016,8050911.371398926,2095204.981750488,6890905.68548584
01-Sep-2016,8087643.365539551,2101003.071777344,6513065.442382813
01-Oct-2016,9644045.182434082,2030113.169555664,6703629.56036377
01-Nov-2016,8311677.356750488,2098363.238891602,7124277.094726563
01-Dec-2016,9176288.046264648,2120120.610595703,6797464.58013916
01-Jan-2017,9593242.059020996,1829090.546875,7148088.559326172
01-Feb-2017,9404110.879943848,2452922.411010742,8703678.111999512
01-Mar-2017,9939100.372680664,2281809.239624023,7670376.362121582
01-Apr-2017,8921547.475463867,2784796.428771973,7310060.135131836
01-May-2017,8945699.813354492,1975755.018676758,7312399.357055664
01-Jun-2017,9529057.757019043,2186874.43737793,6485811.772888184
01-Jul-2017,8716537.518981934,2181189.136962891,6402964.575561523
01-Aug-2017,9737633.488037109,2074902.816223145,7039824.153198242
01-Sep-2017,8263674.726928711,2361230.724487305,7841896.199645996
01-Oct-2017,8941448.839660645,2218032.985534668,7615748.52545166
01-Nov-2017,8782910.539001465,2061293.375915527,7136529.661071777
01-Dec-2017,8930706.627807617,2542786.583984375,6914034.145141602
01-Jan-2018,8815874.279296875,2257494.8359375,7140320.065002441
01-Feb-2018,9835489.510253906,2489383.274475098,8428211.817871094
01-Mar-2018,9748774.650817871,2430973.731811523,8817605.141601563
01-Apr-2018,9354192.811828613,2242894.278686523,7608371.980041504
01-May-2018,9222014.333251953,2287361.658203125,7753603.048278809
01-Jun-2018,9557860.543334961,1894173.546020508,7643038.348510742
01-Jul-2018,8376180.276184082,2509093.204345703,7051913.93951416
01-Aug-2018,8701129.053100586,1941792.565673828,7442033.705322266
01-Sep-2018,8354429.422241211,2241612.984802246,6838507.473937988
01-Oct-2018,8496554.577392578,2131032.926513672,7302745.022155762
01-Nov-2018,7947126.508544922,2246403.054931641,7144827.93145752
01-Dec-2018,8090045.30456543,2154134.979736328,7837313.517883301
01-Jan-2019,8862762.79486084,2353159.962280273,6927549.109069824
01-Feb-2019,9635992.834960938,2183974.492431641,8423617.106079102
01-Mar-2019,9837192.332336426,2357460.487792969,8573876.163513184
01-Apr-2019,9069326.247192383,2714594.198242188,7761155.856872559
01-May-2019,9511417.569091797,2175706.296386719,7626377.078918457
01-Jun-2019,9070845.929321289,2212043.412841797,7250962.571289063
01-Jul-2019,9782608.455200195,2512930.068237305,7997361.676879883
01-Aug-2019,8573494.776977539,2225728.307983398,6584410.115234375
01-Sep-2019,8997829.427429199,1978239.246337891,7056531.305664063
01-Oct-2019,8651300.489868164,2346542.765014648,7351835.2734375
01-Nov-2019,8462093.489135742,2334733.529663086,7866178.601196289
01-Dec-2019,9073558.208862305,2644878.323486328,7840996.688720703
01-Jan-2020,8914790.890380859,2164040.251342773,7261293.30847168
01-Feb-2020,8449057.88067627,2458027.376831055,8468226.439819336
01-Mar-2020,9011202.865112305,2803605.556762695,9221635.824829102
01-Apr-2020,6906870.751464844,2106268.302124023,7537363.32800293
01-May-2020,7291016.181396484,1939059.838867188,7248121.818603516
01-Jun-2020,7607049.917541504,2014296.799560547,7928332.812927246
01-Jul-2020,7917902.876342773,2062253.334228516,7848801.13684082
01-Aug-2020,8639501.510498047,2186320.388305664,8007636.418579102
01-Sep-2020,7134932.965270996,2003246.935791016,7067396.973388672
01-Oct-2020,8043496.725341797,2259103.802734375,7318674.991882324
01-Nov-2020,7577121.930297852,1993733.716430664,7500289.56262207
01-Dec-2020,7991185.736083984,2360676.340698242,7620012.857177734
01-Jan-2021,8063143.610351563,2252819.547119141,8208013.195922852
01-Feb-2021,9148390.571289063,2504955.486328125,9278954.22668457
01-Mar-2021,8169032.321655273,2554350.554199219,7973300.969482422
01-Apr-2021,7241377.642944336,1879425.818359375,7752748.063598633
01-May-2021,6503157.620483398,1655312.96496582,7327245.52154541
01-Jun-2021,5866355.139892578,2029726.37097168,6968637.309692383
01-Jul-2021,6258550.575195313,1630097.600341797,6128298.976379395
01-Aug-2021,6196501.862792969,1622762.378173828,6739568.89440918
01-Sep-2021,6782827.501220703,1971348.142944336,7502770.390136719
01-Oct-2021,7812919.283203125,2222435.232910156,7116499.868408203
01-Nov-2021,8729821.270019531,2205160.552734375,7405731.249633789
01-Dec-2021,7268053.056274414,1913789.279785156,7143725.249389648
01-Jan-2022,7500169.536743164,2036783.330688477,7454672.240478516
01-Feb-2022,8638487.573974609,1999487.012329102,8441655.041015625
01-Mar-2022,8622320.428222656,2437139.581054688,8341184.109375
01-Apr-2022,8068888.669189453,2129094.391601563,8128033.033203125
01-May-2022,7903857.692016602,1580473.145507813,7503310.988769531
01-Jun-2022,7799386.546386719,2031932.434570313,7474809.176147461
01-Jul-2022,7745476.712036133,2304806.926513672,7045563.892944336
01-Aug-2022,7886775.401733398,1850034.398193359,7307651.070800781
01-Sep-2022,7637753.851318359,2267133.303588867,6578447.452880859
01-Oct-2022,7602594.235229492,2220863.827514648,7697017.352783203
01-Nov-2022,7642483.76965332,1764574.452453613,7941233.605041504
01-Dec-2022,7325445.005737305,2446081.268432617,7706111.907714844
01-Jan-2023,8372864.654907227,2082867.046508789,7897169.397949219
01-Feb-2023,8287244.811035156,2387445.147949219,9389709.921875
01-Mar-2023,9072411.689453125,2320275.088623047,8926954.91418457
01-Apr-2023,8818937.339233398,2246187.587280273,8312931.057861328
01-May-2023,8561556.707275391,1936004.561889648,8994913.959106445
01-Jun-2023,8463451.898071289,2584906.192260742,7678373.491088867
01-Jul-2023,8702081.843505859,2175305.092285156,8174873.157226563
01-Aug-2023,8509979.712280273,2335561.379882813,7958330.259155273
01-Sep-2023,8184067.67565918,2223435.365234375,7817720.022583008
