date,WGT_lo_n,WGT_mo_n,WGT_ho_n
01-May-2010,3268073.491882324,9412958.916503906,7678378.08001709
01-Jun-2010,3161160.015686035,8891899.34387207,7941763.26574707
01-Jul-2010,3182705.502380371,9307663.071960449,8146588.295227051
01-Aug-2010,3519276.680175781,9433039.19720459,7546800.259460449
01-Sep-2010,2714750.322387695,8989788.848022461,7618705.509033203
01-Oct-2010,3153346.516113281,8160911.604003906,7682770.780639648
01-Nov-2010,3057251.299682617,8252879.600585938,8549997.755737305
01-Dec-2010,3132609.633911133,8345516.271057129,7381690.894226074
01-Jan-2011,3027019.989440918,8868164.682373047,8086333.09576416
01-Feb-2011,3506572.5625,10305677.03063965,8923869.924560547
01-Mar-2011,3531548.986206055,9310729.82598877,9229774.63885498
01-Apr-2011,3003183.673095703,9592269.286254883,8437301.45880127
01-May-2011,2997519.704040527,8590008.780273438,8160361.198425293
01-Jun-2011,3283160.463989258,8402885.879272461,7468442.673095703
01-Jul-2011,3013731.04284668,8175863.032104492,7331938.683227539
01-Aug-2011,2882534.413574219,7941419.230712891,7315960.749328613
01-Sep-2011,2649222.724121094,7863417.309692383,7432429.792602539
01-Oct-2011,2821361.172119141,8881368.472351074,8018319.616882324
01-Nov-2011,2450971.286804199,8421845.665100098,8054169.273986816
01-Dec-2011,3548444.570068359,8240846.575073242,7860293.823059082
01-Jan-2012,2919082.983642578,8432431.263244629,7552060.700683594
01-Feb-2012,3014426.955688477,9113653.030151367,8272779.50390625
01-Mar-2012,3562423.690124512,9371485.246520996,8855529.16986084
01-Apr-2012,2979089.58795166,9192848.148193359,8740146.12109375
01-May-2012,3140557.637451172,8699342.66986084,7806186.344482422
01-Jun-2012,2890425.658447266,8722467.45880127,7426416.734741211
01-Jul-2012,3223264.230651855,8690727.775390625,7197348.975463867
01-Aug-2012,3327739.55279541,8500584.699645996,7173325.740722656
01-Sep-2012,2846298.216308594,8393699.741821289,8384412.593444824
01-Oct-2012,2800370.149414063,8532139.996826172,7623902.888549805
01-Nov-2012,2568938.400512695,8168700.225708008,7724325.543701172
01-Dec-2012,3072988.396362305,8482690.335998535,7216583.920471191
01-Jan-2013,2824163.575134277,8031401.525695801,8239196.083862305
01-Feb-2013,3322766.798461914,9523024.337402344,9210963.954406738
01-Mar-2013,3212315.061157227,9609228.989990234,9026990.836669922
01-Apr-2013,3686443.636474609,8650498.827453613,8212890.823669434
01-May-2013,3230432.342285156,8748712.679992676,8337331.730224609
01-Jun-2013,3152644.595214844,8202346.437805176,8510824.51171875
01-Jul-2013,3273651.369873047,8583178.631835938,7046480.899169922
01-Aug-2013,3351591.992492676,8025662.055114746,7365010.211730957
01-Sep-2013,3300757.226806641,8002287.956054688,7938205.806884766
01-Oct-2013,2948181.279663086,8248360.422973633,7655124.759399414
01-Nov-2013,2761444.597167969,7561966.455078125,7765748.851928711
01-Dec-2013,2904800.418823242,8607767.655395508,7571847.179931641
01-Jan-2014,2908832.441040039,8342173.314819336,8138708.785461426
01-Feb-2014,3294012.745117188,9881661.11328125,8813248.099487305
01-Mar-2014,3472693.152954102,9754081.604858398,8106493.164550781
01-Apr-2014,3144998.432128906,8066606.932739258,8402544.938720703
01-May-2014,2980919.648864746,8763953.641296387,7796535.298706055
01-Jun-2014,3103457.502197266,8326910.348266602,7405219.740844727
01-Jul-2014,3306819.65625,8263343.39276123,7279940.338989258
01-Aug-2014,3116760.081054688,8171194.903930664,7317678.23248291
01-Sep-2014,2797287.474121094,7871204.02734375,6471755.066040039
01-Oct-2014,2523933.60736084,7999623.156494141,6930716.585327148
01-Nov-2014,2400474.744384766,6222699.197692871,6106892.866333008
01-Dec-2014,2502090.646484375,6212580.035583496,6373775.788269043
01-Jan-2015,2410682.773254395,6073719.021057129,6466414.241638184
01-Feb-2015,2518087.328491211,6998272.616790771,7637708.600708008
01-Mar-2015,2799239.12902832,7661058.346069336,7189620.776306152
01-Apr-2015,2181090.282653809,6277404.734832764,6571818.271240234
01-May-2015,2068674.367919922,6574744.744628906,7163569.314086914
01-Jun-2015,2380051.641418457,5931804.127807617,6673059.923095703
01-Jul-2015,2210933.36920166,6049874.319885254,6010088.597412109
01-Aug-2015,2578033.816894531,6673822.188720703,6445716.173583984
01-Sep-2015,2145666.881774902,6041918.634399414,6503297.57635498
01-Oct-2015,2095281.819580078,6565220.629577637,6754960.927185059
01-Nov-2015,2717775.726379395,7879215.519042969,7155445.829956055
01-Dec-2015,2758051.20916748,7632060.539916992,8446841.359863281
01-Jan-2016,2901089.462341309,7607966.571044922,8080583.823852539
01-Feb-2016,3359086.942260742,7796194.137573242,7827782.707763672
01-Mar-2016,2917006.965698242,8437967.117431641,7963624.175292969
01-Apr-2016,3214398.906738281,7782911.188171387,8463745.226074219
01-May-2016,2603632.441955566,7886181.84753418,7504679.727172852
01-Jun-2016,2616742.608093262,7015609.148864746,7485891.725708008
01-Jul-2016,2678862.444702148,6977895.069641113,6514699.395568848
01-Aug-2016,2898025.190490723,6728448.268615723,7410548.579528809
01-Sep-2016,2743526.517944336,7077045.090942383,6881140.270812988
01-Oct-2016,2774188.407348633,8107916.043395996,7495683.461608887
01-Nov-2016,2883595.493774414,7256044.788818359,7394677.407775879
01-Dec-2016,2568389.733764648,7881472.011901855,7644011.491333008
01-Jan-2017,2913901.86706543,7868436.811828613,7788082.486328125
01-Feb-2017,2833796.142944336,8331668.729675293,9395246.530334473
01-Mar-2017,3146163.578979492,8362452.845397949,8382669.550048828
01-Apr-2017,2523363.815002441,8547456.317443848,7945583.906921387
01-May-2017,2857581.261474609,7395378.911193848,7980894.016418457
01-Jun-2017,3084655.99822998,7649477.463562012,7467610.505493164
01-Jul-2017,2797752.191650391,7328890.343688965,7174048.696166992
01-Aug-2017,2831250.516662598,8569609.114868164,7451500.825927734
01-Sep-2017,2853706.700317383,7523767.547851563,8089327.402893066
01-Oct-2017,3008343.18951416,7803967.386535645,7962919.774597168
01-Nov-2017,2695658.537414551,7722226.779907227,7562848.258666992
01-Dec-2017,2707309.274353027,7655410.603210449,8024807.479370117
01-Jan-2018,2480865.621948242,7729373.345703125,8003450.212585449
01-Feb-2018,2823684.467956543,9118825.243164063,8810574.891479492
01-Mar-2018,3156088.382202148,8079384.503723145,9761880.638305664
01-Apr-2018,2913506.006774902,7694995.80859375,8596957.255187988
01-May-2018,2767633.537597656,8187133.735290527,8308211.766845703
01-Jun-2018,2897437.870239258,8321543.604003906,7876090.963623047
01-Jul-2018,2701117.455078125,7523210.999267578,7712858.965698242
01-Aug-2018,3010379.12121582,7194200.099487305,7880376.103393555
01-Sep-2018,2929399.863891602,7274319.147460938,7230830.869628906
01-Oct-2018,2852370.726318359,7693169.246826172,7384792.55291748
01-Nov-2018,2595358.602111816,7593532.841247559,7149466.051574707
01-Dec-2018,2592433.119262695,7919694.39453125,7569366.288391113
01-Jan-2019,2772668.284118652,7582216.26940918,7788587.312683105
01-Feb-2019,3018860.561157227,8264700.323974609,8960023.548339844
01-Mar-2019,2933784.500732422,8603310.367614746,9231434.11529541
01-Apr-2019,3032974.631469727,8052623.029907227,8459478.640930176
01-May-2019,2966961.751220703,8413304.559326172,7933234.633850098
01-Jun-2019,3097038.080932617,7798674.096923828,7638139.735595703
01-Jul-2019,3063722.027587891,8726631.356811523,8502546.815917969
01-Aug-2019,2787634.662231445,6940406.726074219,7655591.811889648
01-Sep-2019,2858390.135253906,7848162.887512207,7326046.956665039
01-Oct-2019,2508926.92578125,7828775.942260742,8011975.66027832
01-Nov-2019,2913056.510375977,7868429.612548828,7881519.497070313
01-Dec-2019,3084190.900390625,8145085.181884766,8330157.138793945
01-Jan-2020,3054009.89855957,7273009.699584961,8013104.852050781
01-Feb-2020,2643976.037109375,7734340.736877441,8996994.923339844
01-Mar-2020,2754062.398132324,8527032.840148926,9755349.008422852
01-Apr-2020,1812886.319824219,6568783.102661133,8168832.959106445
01-May-2020,2149984.736206055,6895636.051147461,7432577.051513672
01-Jun-2020,2341331.553466797,7022131.855651855,8186216.120910645
01-Jul-2020,2293137.416870117,7209320.071044922,8326499.85949707
01-Aug-2020,2728691.208862305,7905302.857177734,8199464.251342773
01-Sep-2020,2145239.030151367,6457560.304626465,7602777.539672852
01-Oct-2020,2514487.536132813,7152002.235839844,7954785.74798584
01-Nov-2020,2098831.359863281,7038908.811401367,7933405.038085938
01-Dec-2020,2287205.135253906,7496215.187866211,8188454.610839844
01-Jan-2021,2418876.90234375,7341365.182006836,8763734.269042969
01-Feb-2021,2960859.342285156,8946921.490600586,9024519.451416016
01-Mar-2021,2675698.631713867,7483739.607299805,8537245.606323242
01-Apr-2021,2019920.174682617,6765164.438720703,8088466.911499023
01-May-2021,1885268.361083984,6288905.663085938,7311542.082824707
01-Jun-2021,1649345.887817383,5794285.313354492,7421087.619384766
01-Jul-2021,1781622.776489258,5509581.495483398,6725742.879943848
01-Aug-2021,1934143.58203125,5738296.402832031,6886393.150512695
01-Sep-2021,2156281.542114258,6507795.288696289,7592869.203491211
01-Oct-2021,2648641.959838867,6926292.548217773,7576919.876464844
01-Nov-2021,2631002.506225586,7715682.58972168,7994027.97644043
01-Dec-2021,2413430.023681641,6781993.529174805,7130144.032592773
01-Jan-2022,2121377.376464844,6697580.089111328,8172667.642333984
01-Feb-2022,2469628.561157227,7701969.507446289,8908031.55871582
01-Mar-2022,2487523.692871094,8045040.252319336,8868080.173461914
01-Apr-2022,2594918.369628906,7418886.8203125,8312210.904052734
01-May-2022,2516662.46887207,7073905.954223633,7397073.403198242
01-Jun-2022,2827902.131103516,6871772.515258789,7606453.510742188
01-Jul-2022,2178450.388671875,6879613.249633789,8037783.893188477
01-Aug-2022,2242624.384033203,7229174.025634766,7572662.46105957
01-Sep-2022,2582385.920410156,6602718.730102539,7298229.957275391
01-Oct-2022,2226633.759033203,7240259.553100586,8053582.103393555
01-Nov-2022,2519133.013671875,6820399.17376709,8008759.639709473
01-Dec-2022,2457287.703735352,7011532.65637207,8008817.821777344
01-Jan-2023,2666997.866577148,7702526.60168457,7983376.631103516
01-Feb-2023,2511036.572875977,8023619.583984375,9529743.723999023
01-Mar-2023,3092233.593505859,7889188.202758789,9338219.895996094
01-Apr-2023,2874110.614257813,7935194.968383789,8568750.401733398
01-May-2023,2809080.682006836,7345826.534790039,9337568.011474609
01-Jun-2023,2725260.623168945,7051893.869506836,8949577.088745117
01-Jul-2023,3122220.499511719,7467802.661987305,8462236.931518555
01-Aug-2023,2716647.164672852,7499381.635375977,8587842.551269531
01-Sep-2023,2573833.207763672,7380269.264404297,8271120.591308594
