date,WGT_lo,WGT_mo,WGT_ho
01-Oct-2022,6.4538522,5.7158413,6.5957747
01-Nov-2022,4.5610499,5.5483184,6.8990326
01-Dec-2022,5.8520684,6.1875405,5.4070854
01-Jan-2023,6.0624623,5.7569871,6.4538522
01-Feb-2023,4.082202,6.4538522,7.4314876
01-Mar-2023,5.8942561,5.7158413,7.3122787
01-Apr-2023,6.0624623,5.7706962,5.4070854
01-May-2023,8.7012577,5.4067221,6.8992872
01-Jun-2023,7.4107971,6.1662698,4.4451761
01-Jul-2023,4.8790164,4.5809536,5.6518145
01-Aug-2023,5.3437686,4.3603663,5.4067221
01-Sep-2023,6.8992872,4.6520014,5.2684569
