date,WGT_pac_n,WGT_esc_n,WGT_wsc_n,WGT_mnt_n,WGT_nen_n,WGT_sat_n,WGT_wnc_n,WGT_enc_n,WGT_mat_n
01-Mar-2006,3174780.033447266,1216743.043945313,2330509.940917969,1516903.2890625,1049511.982543945,3665481.584655762,2030548.041503906,4119553.250976563,3011035.483398438
01-Apr-2006,3127905.706970215,1114515.067382813,2093018.688964844,1659260.921142578,918089.5712890625,3347244.506713867,1777813.896240234,3387324.897460938,2193055.465820313
01-May-2006,2879345.720336914,1217516.398925781,2130508.5859375,1298034.342895508,1136235.436096191,3319158.455078125,1783117.999511719,2934021.420410156,2501966.833007813
01-Jun-2006,3003345.593200684,1004397.022949219,2004419.1171875,1536894.516113281,942088.7651367188,3148342.725097656,1614547.865356445,3155141.731933594,2479700.012695313
01-Jul-2006,3191203.038330078,1250318.543457031,1883467.824707031,1440539.905639648,1033661.318603516,3719316.817077637,1794214.950683594,3918410.962890625,2598369.177734375
01-Aug-2006,3352365.679199219,955269.9970703125,2084197.232421875,1339701.731689453,1058109.786010742,3610426.174316406,1829139.276306152,3624504.542480469,2459666.366699219
01-Sep-2006,3096401.765136719,957209.1782226563,2187678.5625,1742856.117858887,1193145.454345703,3476455.481689453,1786747.161987305,3468254.10546875,2624256.077148438
01-Oct-2006,3064458.975585938,952174.703125,1773489.706542969,1689478.50970459,1071286.37902832,3233148.368408203,1762582.376831055,3554213.96875,2492886.983398438
01-Nov-2006,3063632.567077637,1178747.340332031,2235961.375488281,1680530.747314453,1058264.932250977,3367265.32208252,2000830.891052246,3283993.145996094,2300318.228027344
01-Dec-2006,2880542.431518555,1095404.819335938,1940074.2890625,1512097.586975098,1126659.886474609,3614268.087524414,2010016.121826172,3358493.814941406,2607631.446777344
01-Jan-2007,3661581.314819336,1036158.631347656,2236391.479492188,1785011.909545898,1060922.18927002,3386052.046386719,1983123.312866211,3573937.038574219,2567982.3203125
01-Feb-2007,3494944.972595215,918989.6166992188,2569476.565429688,1774496.145874023,1169455.554199219,4161494.849365234,1767800.385986328,3767612.372070313,2761262.047851563
01-Mar-2007,3454565.072692871,1200272.43359375,1951301.90234375,1560296.265930176,1156114.36505127,3875824.771972656,2071075.669921875,3929902.594726563,3315771.416992188
01-Apr-2007,3203901.398742676,1014550.567871094,1956635.790039063,1563528.540771484,987244.7244873047,3589265.977966309,1867504.982421875,3575435.916503906,2537017.290039063
01-May-2007,3381849.862304688,969562.6982421875,2155318.529785156,1719691.887207031,1020884.645751953,3718973.704833984,1879451.42956543,3404462.939941406,2706201.481445313
01-Jun-2007,2814969.737792969,1280958.491699219,2147555.153808594,1557761.044006348,1098846.676269531,3714390.883666992,1703776.012573242,3594646.018066406,2542141.921875
01-Jul-2007,3144564.348022461,1163034.368652344,1931703.279785156,1907413.638366699,956165.5496826172,3200475.427368164,1973532.51159668,3268446.622070313,2607102.934570313
01-Aug-2007,2953076.84967041,1378255.181152344,1968061.956054688,1526058.073791504,1138739.026611328,3339822.315673828,1851704.585083008,3640624.954589844,2563221.96875
01-Sep-2007,2821877.075683594,1077802.733398438,2326546.448730469,1623509.923950195,925974.8387451172,3029993.913574219,1990189.721435547,3601694.097167969,2061958.333984375
01-Oct-2007,3013807.378845215,1059445.855957031,2180516.223632813,1863644.158630371,961001.3239746094,3302428.883483887,1828302.78503418,3605327.741699219,2155215.155273438
01-Nov-2007,3154693.969848633,945426.6137695313,2228416.1015625,1753219.801269531,1029652.109375,3239742.346801758,1743473.875244141,3455168.465820313,2192742.219726563
01-Dec-2007,3155377.499694824,1072474.490722656,2124757.598632813,1602015.341491699,868301.8071289063,3667328.588623047,1664752.795898438,3549832.065917969,2320632.157226563
01-Jan-2008,2962130.14050293,1156293.686523438,2175889.105957031,1898598.594909668,1023773.583129883,3489783.435913086,2010483.339355469,4129103.561035156,2908343.873046875
01-Feb-2008,3914869.352783203,1321716.861328125,2308498.087158203,1670085.959472656,1015318.23449707,4130847.591552734,1784561.766723633,3937644.777832031,2687059.9140625
01-Mar-2008,3513856.602050781,1369225.096679688,2423601.060546875,1825071.85736084,833862.6240234375,3868852.897033691,1916628.103759766,3808153.704589844,2906985.981445313
01-Apr-2008,3066217.716247559,1369415.869140625,2291716.959472656,1703006.002319336,1013082.310913086,3582571.378540039,2003949.513244629,3832123.811523438,2720469.461914063
01-May-2008,3429406.216674805,1175493.299804688,2150593.848632813,1860564.204101563,933685.7997436523,3566642.961242676,1991376.256835938,3830065.357910156,2397872.532226563
01-Jun-2008,3447941.434814453,961033.7958984375,2436775.995605469,1672618.020263672,1173098.458862305,3908343.241882324,1960074.249633789,3766181.647949219,2497675.80859375
01-Jul-2008,3156614.854370117,1146074.905761719,2380422.129882813,1751733.374755859,945015.4616699219,4051061.703735352,1867777.415893555,3640324.118652344,2276512.1640625
01-Aug-2008,3990973.47845459,1177483.453613281,2113523.279296875,1709345.067199707,1134690.108032227,3534903.354675293,1781448.784179688,3186675.379882813,2114373.728515625
01-Sep-2008,2784874.268066406,902854.5659179688,2316822.530273438,1769806.791015625,891855.6602172852,3413453.853881836,1851038.145385742,3937620.543945313,2581907.140625
01-Oct-2008,3015229.97668457,968530.1142578125,2490177.446289063,1485716.970397949,989328.3117675781,3592996.343383789,1644349.18371582,3539918.319824219,2629298.598632813
01-Nov-2008,3402762.42980957,1034237.631835938,2095259.590332031,1521944.16595459,787055.2532348633,3608355.679260254,1749638.763305664,3148708.071777344,2910645.397460938
01-Dec-2008,3122912.370361328,1181188.207519531,2254842.87109375,1718330.192749023,1031676.150268555,3711487.975708008,1736100.009155273,3555162.791992188,2802859.7578125
01-Jan-2009,3227561.332885742,1260218.189941406,2386416.610351563,1607923.583129883,969362.9141845703,3594731.320373535,2020331.133911133,3192055.112792969,2818056.30859375
01-Feb-2009,3485475.531616211,1145702.852539063,2552511.054199219,1701377.145874023,1058869.179077148,3840890.926940918,2054046.781738281,4259100.982421875,2831193.966796875
01-Mar-2009,3367065.756347656,1338120.41796875,2481250.047851563,1928561.54309082,1325415.280761719,3875181.004882813,1769266.112182617,4036947.833984375,2819189.094726563
01-Apr-2009,3125302.300292969,960460.6362304688,2440566.232421875,1668888.710449219,1067792.34362793,3549769.721435547,1895115.940917969,3168821.430175781,2772788.889648438
01-May-2009,3271201.205566406,989886.1303710938,2244383.525390625,1430017.884033203,902882.9831542969,3585455.729187012,1800163.610351563,3624451.950195313,2703718.926757813
01-Jun-2009,2954947.024963379,1018469.564941406,2343978.074707031,1538093.540649414,1262890.440551758,3949796.260375977,1876657.6328125,3589846.080566406,3009021.620605469
01-Jul-2009,3163671.85546875,999352.1196289063,2254428.481445313,1496181.945007324,820602.2962036133,3621089.978942871,1810374.18737793,3802545.178710938,3004789.704101563
01-Aug-2009,3176978.441894531,1096533.349609375,2576073.727539063,1731084.224914551,1156136.361816406,3709387.915283203,1942252.476013184,3446853.358398438,2480607.1953125
01-Sep-2009,2980625.644897461,1124676.974609375,2088915.671875,1461921.652099609,950128.4772949219,3176695.768859863,1779734.169677734,3422345.134277344,2320909.4765625
01-Oct-2009,2658256.673828125,965570.9189453125,2510414.487304688,1493880.561218262,1070911.526733398,3533114.598876953,1862835.465454102,3879904.96875,2079540.749023438
01-Nov-2009,3381787.525024414,804004.9985351563,2239202.427246094,1546317.063964844,1202418.003967285,3804498.543029785,1667605.860656738,3401001.108398438,2251059.2421875
01-Dec-2009,2989601.885742188,896786.048828125,2417437.867675781,1373827.725097656,999672.1271972656,3281877.75793457,1647254.038330078,2872172.801757813,2505816.202148438
01-Jan-2010,3264590.680786133,851568.4379882813,2040972.154785156,1417092.528991699,1062416.193725586,3557278.101196289,1857824.546630859,3698567.312988281,2340718.3984375
01-Feb-2010,3201948.161254883,1371216.481445313,2243172.515136719,1916417.840942383,981359.1362304688,3426097.456176758,1770894.442504883,3244872.15234375,2748510.551269531
01-Mar-2010,3431948.948852539,1040132.541992188,2465912.733398438,1557838.442810059,907504.1426391602,3805268.465820313,2034453.181396484,3796055.98828125,3349031.866699219
01-Apr-2010,2780653.499389648,1360916.007324219,2609559.736816406,1574183.172119141,983652.1380004883,4376443.360046387,1775365.734008789,4034172.608398438,2858139.909179688
01-May-2010,3124666.52923584,1087907.526367188,2606234.509765625,1464561.608398438,1002518.942565918,3523856.435913086,1818019.381469727,3096001.609375,2635643.9453125
