date_monthly,WGT_cmi,WGT_ehi,WGT_fpi,WGT_lhi,WGT_mni,WGT_pai,WGT_tti
30-Oct-1961,1.26138,4.2502227,9.1017103,5.1377487,9.0501347,-.91748339,4.6001148
31-Oct-1961,6.1764874,3.8403978,5.4057584,2.8054864,6.925653,6.5594687,2.8242967
01-Nov-1961,2.2635803,6.413096,8.6221161,-1.9390233,4.1319489,4.2882419,8.4858541
02-Nov-1961,8.6020708,3.2450004,6.4857302,4.4824257,4.9063034,6.2672472,7.6459179
03-Nov-1961,6.5620975,2.9844081,3.9838667,7.0973291,7.2845306,.81218737,8.2963324
04-Nov-1961,6.0570698,6.6740909,5.2362027,8.4884367,7.7793565,8.4201965,6.548543
05-Nov-1961,4.7480555,4.9001093,5.6206732,7.7102003,6.0286446,3.8323631,6.2482166
06-Nov-1961,9.5275745,6.0543318,3.384737,8.5668793,2.9497931,4.2862692,5.7513838
07-Nov-1961,5.5544581,7.3179617,7.4140019,8.7697964,4.4445658,7.6684923,5.2332973
08-Nov-1961,4.8878593,6.9056349,2.7018354,-1.0791813,8.2318821,7.3420086,4.916039
09-Nov-1961,12.448363,9.6164017,6.5476103,1.6550671,9.1502714,2.3951666,4.1306076
10-Nov-1961,3.8959749,7.0532155,3.9846334,2.3227265,3.9568594,5.911221,6.5525665
11-Nov-1961,9.9649906,7.3644018,4.9545979,6.6342483,1.1228632,5.2698216,5.7641516
12-Nov-1961,.94298869,5.707993,9.3067074,8.2858934,6.7167683,8.191143,8.0030565
13-Nov-1961,10.703158,5.7209291,5.8020844,7.9135609,5.0586157,2.8597167,11.112793
14-Nov-1961,6.2698312,6.8324594,5.4867496,2.9791086,4.4834189,5.6038637,3.8180413
15-Nov-1961,11.417754,3.0152297,6.1418543,5.9585133,2.5213597,6.086699,4.5963597
16-Nov-1961,3.918869,6.928762,7.4025159,4.3291311,4.5162902,11.84466,7.6942472
17-Nov-1961,4.4769278,3.9540322,4.4198565,2.5998235,5.8560023,6.4586086,7.7536917
18-Nov-1961,-1.8508885,6.6528697,6.5523009,6.6144347,8.0597086,5.0247545,2.5163724
19-Nov-1961,3.7365394,2.905164,7.2541475,5.3758316,4.7961555,1.4489535,4.6326895
20-Nov-1961,9.8856897,6.1625609,5.4348478,5.1903491,7.8517394,6.5965109,5.6599493
21-Nov-1961,11.618436,5.9577208,5.9504232,6.6594496,3.0145125,7.8062277,7.2695413
22-Nov-1961,9.8142357,5.2763953,4.7742739,8.0086393,7.3403459,3.3490851,2.6795125
23-Nov-1961,6.2389688,2.7746663,3.1203494,3.4892945,3.6101778,10.245554,4.0498815
24-Nov-1961,4.8906364,7.5452194,4.7172084,3.2627683,4.4478211,-.80741739,6.628871
25-Nov-1961,10.318489,6.1150746,6.3043628,.1422621,6.2814555,3.0153866,7.1895437
26-Nov-1961,4.355576,4.0647721,5.0681305,8.6723824,1.9799902,2.3433158,9.5254421
