date_monthly,WGT_cmi_n,WGT_ehi_n,WGT_fpi_n,WGT_lhi_n,WGT_mni_n,WGT_pai_n,WGT_tti_n
09-Aug-1961,1360028.405029297,5497306.745605469,3593438.387939453,1998042.655334473,2499051.782714844,1216180.570678711,4015019.586303711
10-Aug-1961,1616526.466186523,5699805.105407715,3515140.721984863,2220568.098876953,2809537.403869629,1261244.504638672,3915133.142028809
11-Aug-1961,1165369.787963867,5566374.813476563,4013763.874694824,2251766.393432617,2634668.857910156,1089543.6015625,4301431.497680664
12-Aug-1961,1377840.807495117,5965224.355224609,4130351.776611328,2706401.527099609,2953720.232055664,1218200.196838379,4500495.345703125
13-Aug-1961,1277314.76348877,6165293.653686523,4152539.346374512,2477456.489135742,2681646.097229004,1208134.925964355,4934349.911621094
14-Aug-1961,1013886.958740234,5841677.057556152,3641970.028930664,2400865.833251953,2335457.507324219,1461624.008300781,3876508.417663574
15-Aug-1961,989530.6981201172,5557597.428894043,4149176.943908691,2160998.408874512,2524965.997253418,1230964.694519043,3903525.637695313
16-Aug-1961,1237561.796630859,5700074.55255127,3799002.149719238,2598774.219116211,2817731.17199707,1327835.692749023,4030759.23260498
17-Aug-1961,1140080.058166504,5757685.732177734,3635036.25982666,2440114.422302246,2647886.176818848,1137922.258666992,4179790.942687988
18-Aug-1961,1406871.603942871,5354904.941833496,3975239.0078125,2441012.477844238,2737752.503051758,1159763.685058594,4193014.575378418
19-Aug-1961,1065261.780212402,5263297.265197754,3464596.240600586,2170543.507202148,2590677.141418457,995969.7931518555,3688377.367370605
20-Aug-1961,1094182.104003906,5534925.23059082,3482408.236450195,2316090.539855957,2699746.847167969,1198352.406188965,3669084.262145996
21-Aug-1961,978154.8128662109,5970135.154968262,3815231.817260742,1969549.592651367,2509118.302185059,1269361.822753906,3694680.881286621
22-Aug-1961,987438.6989746094,5171665.265197754,3285663.862609863,1891997.08996582,2583738.224365234,1208612.446228027,3810048.092102051
23-Aug-1961,915061.1122436523,5690182.833984375,3755915.432983398,2354705.458129883,2279903.784790039,1295160.299499512,3759459.343078613
24-Aug-1961,1126505.416503906,5678817.707885742,4111473.889892578,2358201.835693359,2530161.659973145,1045880.357849121,4035777.670166016
25-Aug-1961,1303116.629638672,6049249.320373535,4091368.865478516,2521509.116943359,2462740.255493164,1230106.793395996,4637540.603271484
26-Aug-1961,1000146.137573242,6493241.204711914,3898898.930725098,2385612.662597656,2513517.56237793,1587355.365356445,4416713.897644043
27-Aug-1961,1104156.803100586,5487774.894897461,3740475.827026367,2359556.616210938,2663175.770874023,1366215.210449219,3615053.109008789
28-Aug-1961,1071250.84979248,5429975.922851563,3312513.504516602,2279575.19140625,2489067.104370117,1270924.16619873,4076444.352844238
29-Aug-1961,1241859.406005859,5598502.19317627,3809799.493225098,2345589.420959473,2407001.882995605,967459.2481079102,4242766.980712891
30-Aug-1961,940538.3989257813,5220633.901916504,3468101.125427246,2817974.043945313,2615049.003845215,1283400.461608887,4084906.182617188
31-Aug-1961,1033565.542724609,5161257.506774902,3334219.731689453,2155544.377868652,2424539.012451172,1230192.608398438,3908278.920043945
01-Sep-1961,1070735.229064941,5239683.165893555,3152693.282104492,2487692.992431641,2317045.925170898,1088572.422363281,3604397.347839355
02-Sep-1961,980335.6627197266,5271793.949829102,3337638.06237793,2658872.89050293,2364925.966918945,1260318.490356445,3938416.950195313
03-Sep-1961,980683.3671875,5601675.953063965,3299398.044006348,2234191.07208252,1822315.153930664,1033648.074768066,3862696.373901367
04-Sep-1961,1130008.508422852,5689254.029846191,3714448.30645752,2211131.671630859,2523916.473388672,1112166.711791992,3564091.473754883
05-Sep-1961,1136235.279174805,6183357.959106445,4075186.106567383,2509977.37878418,2937937.858764648,1305495.978149414,4511746.194091797
06-Sep-1961,1056809.522521973,6254972.777038574,4062198.162963867,2392972.51348877,2339202.531433105,1303510.448242188,4614040.132080078
07-Sep-1961,1327217.702636719,5538396.739868164,4124736.683654785,2188267.480773926,2609493.63079834,1181317.002685547,4023420.201171875
08-Sep-1961,980646.1110229492,5337442.341552734,3395653.897399902,1907291.258666992,2844889.548217773,1415040.982849121,3775519.751037598
09-Sep-1961,985545.2802734375,5077976.115478516,3773507.806396484,2264345.1484375,2147772.753417969,1105201.590332031,3728628.712158203
10-Sep-1961,1099144.420532227,4861552.841247559,3034985.235839844,2119632.73034668,2390028.053833008,1131946.751708984,3820977.573181152
11-Sep-1961,1169910.168334961,4735960.040222168,3304241.756469727,2191368.60168457,2392462.037719727,935589.0603027344,3341157.612426758
12-Sep-1961,1118775.833007813,5237991.752685547,3449772.303710938,1837403.883178711,2019422.889404297,1028246.267822266,3192049.547973633
13-Sep-1961,976854.5089111328,5420502.169372559,3809844.50994873,2083138.496582031,2503459.193359375,1049997.6796875,3870140.508178711
14-Sep-1961,1149872.940368652,5090451.536071777,3149617.030212402,2020803.64666748,2245339.561584473,1177541.537841797,4062632.462646484
15-Sep-1961,966573.0252075195,5345973.608947754,3337011.518737793,2460929.767822266,2400295.798583984,1220153.24621582,3857718.338989258
16-Sep-1961,949209.0665283203,4985533.116882324,3756798.257080078,2264426.822021484,2212463.728393555,1305896.510742188,3361808.411132813
17-Sep-1961,1023518.101928711,5759730.92388916,3643534.913208008,2330094.739440918,2326389.320800781,1397600.20300293,3880398.004760742
18-Sep-1961,1158931.061035156,6093932.560668945,3929024.360473633,2262213.240356445,2797458.049926758,1266317.145629883,4246459.202575684
19-Sep-1961,1287667.77734375,5566517.447387695,3849267.833374023,2253276.756530762,2651279.172729492,1196009.975219727,4071856.768432617
20-Sep-1961,1107887.316772461,5212607.887023926,3489298.745117188,2457960.691833496,2420879.656616211,1024809.457946777,3907723.1640625
21-Sep-1961,1044690.390014648,5253612.346435547,3093472.731567383,2348439.918518066,2517270.515197754,972647.321105957,3740546.383544922
22-Sep-1961,920477.4086303711,4537400.829101563,3270033.916687012,2591033.855957031,2505882.004882813,1118249.816955566,4105780.327758789
23-Sep-1961,895288.9903564453,4805328.14050293,3593982.574768066,2267460.119689941,2372621.570556641,1315200.15637207,3702663.417236328
24-Sep-1961,1055302.81262207,5451379.529174805,3742841.257629395,2263885.639770508,2375196.562011719,943530.4708251953,3728455.060302734
25-Sep-1961,1033944.010864258,5055310.284790039,3282397.479248047,2137031.856445313,2395237.971557617,1013937.267700195,3985219.840576172
26-Sep-1961,1074361.209655762,4954225.397705078,3397937.124633789,2059182.481079102,2294970.92767334,838485.3297119141,3764566.440673828
27-Sep-1961,982283.4373779297,4975913.245422363,3236572.032287598,2283665.31262207,2582267.143127441,1218100.127807617,3438645.792602539
28-Sep-1961,987516.2425537109,5403860.44708252,3578847.984130859,2303643.358947754,2189581.101806641,1093778.854614258,3438334.649902344
29-Sep-1961,1128221.028076172,6164653.033325195,3990905.985107422,2337706.565063477,2565011.459716797,1302260.603271484,4508723.086608887
30-Sep-1961,1191410.684692383,6018519.786010742,3981636.521850586,2578791.048583984,2601490.672485352,1338178.412841797,4119992.430297852
01-Oct-1961,1110699.96081543,5613939.994873047,3846779.715087891,2478107.294189453,2335256.185302734,1517912.663208008,3567433.895996094
02-Oct-1961,1244834.71887207,5589222.247802734,3744169.238830566,2301753.114685059,2446949.508666992,1037866.346008301,3916953.19543457
03-Oct-1961,1276421.878051758,5285806.24621582,3823596.112731934,2435234.764038086,2447103.831542969,1067010.678100586,3492484.027709961
04-Oct-1961,1017559.19921875,4874440.855834961,3422844.56628418,2465221.969848633,2463727.303833008,937300.0708007813,3670704.216186523
05-Oct-1961,1316554.676025391,4874792.533569336,3773746.964416504,2191357.084655762,2249205.084838867,1034251.535583496,3275025.898071289
06-Oct-1961,1192552.30480957,4797129.762451172,3584716.684814453,2540870.434204102,2324480.204467773,1052002.017700195,3730072.873779297
07-Oct-1961,1013346.348266602,5351853.830749512,3526400.234436035,2082139.696289063,2275700.080688477,918831.1068115234,3591201.759521484
08-Oct-1961,999424.9426269531,4932072.875488281,3313212.921875,2179504.715698242,2354606.541015625,966090.1292724609,3313355.851074219
09-Oct-1961,959774.3193359375,5410975.417358398,3430058.97253418,2073404.659423828,2314677.663696289,1098531.91796875,3735614.418579102
10-Oct-1961,1054252.58782959,5359893.436157227,3429512.112243652,2546079.896972656,2401410.031616211,1106783.271240234,3438779.96673584
11-Oct-1961,1238069.780029297,6386489.678100586,3530692.084594727,2204845.198242188,2869219.352294922,1063916.424682617,4691997.172363281
12-Oct-1961,1134930.837768555,5595985.580566406,4164249.404418945,2441453.377319336,2617295.647949219,1223145.819335938,4107367.292602539
13-Oct-1961,1070089.058959961,5465320.573608398,3469805.057250977,2150076.580200195,2344154.06652832,1126619.082275391,3937379.413696289
14-Oct-1961,1135574.688354492,5038234.151123047,3607819.114257813,2308897.556274414,2455439.568115234,1064266.198242188,3890558.714355469
15-Oct-1961,1041028.607543945,4735316.255737305,3606122.096191406,2355433.096069336,2444786.701049805,963042.8121337891,3649569.10949707
16-Oct-1961,1190494.33203125,4623403.937072754,3556299.582336426,2581009.401977539,2312778.45690918,1062890.463623047,3461602.83807373
17-Oct-1961,1094647.04309082,4519889.927001953,3377159.076782227,2400031.141723633,2339806.567626953,1147738.989624023,3648369.979919434
18-Oct-1961,1273063.884887695,4644212.777709961,2887816.016723633,2109820.739685059,2009248.968688965,875067.8780517578,3224819.276855469
19-Oct-1961,1151137.511657715,4621625.55291748,3091808.392944336,1793764.689941406,2479385.859985352,858748.3770141602,3410499.012939453
20-Oct-1961,896483.5074462891,4020735.190795898,2692477.079833984,1770826.68359375,1742944.637329102,731881.4901123047,2872919.480041504
21-Oct-1961,1026307.633300781,3901587.117248535,2834926.1171875,2073707.8046875,1673805.373413086,803725.0780029297,2737972.330871582
22-Oct-1961,899557.0857543945,3951512.989746094,3147766.322998047,1752427.496520996,1739148.347412109,735183.2362060547,2695175.914611816
23-Oct-1961,828747.327911377,4566635.963500977,3794383.061645508,1950058.283203125,1767333.301391602,869971.6864624023,3344820.721740723
24-Oct-1961,1014387.340454102,4983182.742980957,3222582.664794922,1847042.770996094,1930051.189697266,875293.3068847656,3713671.294250488
25-Oct-1961,767313.2918701172,4374139.052246094,2896461.95614624,1657915.184570313,1573544.927734375,819597.2976074219,2937753.71282959
26-Oct-1961,1180507.221496582,4451939.934631348,2970017.694946289,1654134.678466797,1778944.676635742,800112.4915161133,2947085.227600098
27-Oct-1961,673987.0135498047,4139172.938964844,3063169.933959961,1673229.191223145,1627914.239379883,805311.2465820313,2974878.698486328
28-Oct-1961,865060.7914428711,3734058.230773926,2755053.276733398,1656703.505187988,1813660.270385742,856369.2031860352,2559801.525024414
29-Oct-1961,803380.9605712891,3945775.99432373,3200418.319213867,1993612.587097168,1892952.536132813,873815.7468261719,2969918.920288086
30-Oct-1961,888715.8811035156,3917292.227539063,3141994.527770996,1900545.775817871,1478326.469848633,951043.3715820313,2381970.559082031
31-Oct-1961,885070.8149414063,4264697.846801758,2869446.760070801,1619173.505126953,2047194.233276367,773499.120300293,2896747.070678711
01-Nov-1961,1112775.418334961,5079399.027038574,3039021.959472656,2090397.624511719,2220767.354980469,1058361.470336914,3085994.374755859
02-Nov-1961,914820.3308105469,5153778.292907715,3615690.310913086,2298586.766479492,2299700.479614258,1082520.082763672,3435258.062255859
03-Nov-1961,1046071.662658691,5272805.574890137,3245190.899230957,2096872.016906738,2433933.853393555,1080759.38293457,3358480.991882324
04-Nov-1961,1025611.427124023,5264165.692871094,3592436.643432617,2021086.859375,2011071.291015625,1295275.485107422,3730509.788085938
05-Nov-1961,1050906.825195313,4981204.838256836,3472833.567016602,2391214.85546875,2152566.83203125,1236988.736816406,3955138.416137695
06-Nov-1961,1143858.103271484,5107945.729614258,3659287.419677734,2379209.707336426,2383699.65612793,1149549.665649414,3579791.855224609
07-Nov-1961,1126454.111755371,4993127.340332031,3144950.455078125,2241976.39855957,2103011.862426758,976054.5032958984,3365483.065917969
08-Nov-1961,840244.6350097656,5010860.56439209,3086718.341430664,1905251.630065918,1899814.960205078,1009982.326660156,3311851.368530273
09-Nov-1961,937099.9490966797,3874316.969177246,3207640.827331543,2159513.077636719,1854322.09765625,1029387.045288086,3084738.000610352
10-Nov-1961,876327.5340576172,4403468.442932129,3293025.452392578,2316465.664489746,2138891.388183594,972019.3575439453,3002435.805480957
11-Nov-1961,1100690.250549316,4798396.743286133,3120411.167236328,1905097.251281738,1996120.465576172,845210.3228149414,2893436.092041016
12-Nov-1961,979122.1361083984,5013460.388671875,3416988.342346191,1918012.249267578,2481909.814697266,942086.0337524414,3541637.072753906
13-Nov-1961,984188.8835449219,4888144.756347656,3486413.528930664,1790125.245605469,2071921.622802734,922607.5432128906,3354229.382751465
14-Nov-1961,961122.3918457031,4439571.048217773,3777700.840637207,2271045.278686523,2396822.026855469,966545.8218994141,3245197.919067383
15-Nov-1961,914816.1696166992,4840357.837097168,3292590.22833252,2236759.129638672,2395778.220092773,1189803.931152344,3693602.01940918
16-Nov-1961,901252.3870849609,6132437.988464355,4026771.012634277,2351873.604370117,2294226.581787109,1176041.466064453,3631061.451904297
17-Nov-1961,1225612.088745117,5147942.138793945,3689595.87097168,2222327.11114502,2347831.587280273,1233833.592956543,3990936.258728027
18-Nov-1961,1041014.863098145,5364226.661743164,3096389.881591797,2236843.776977539,2345720.344238281,1063911.80645752,3770457.467468262
19-Nov-1961,948148.6644897461,5123991.151062012,3237008.130981445,2228960.845031738,2272216.422424316,936668.9555053711,3445432.817687988
20-Nov-1961,1133070.047973633,4761366.862731934,3538027.123168945,2295501.139160156,2411174.474853516,877993.770324707,3154923.659790039
21-Nov-1961,1202960.469604492,4351780.87890625,3395628.271789551,1969154.240234375,2127168.687011719,1031668.966918945,3205431.11730957
22-Nov-1961,1432133.169067383,4613763.971740723,3757753.65032959,2292074.10168457,2445751.226318359,1049011.24206543,3235636.527587891
23-Nov-1961,1010085.593505859,4948062.701721191,3793346.199707031,2144557.243286133,2163268.157836914,1035066.072753906,3325863.905761719
24-Nov-1961,1256026.609741211,5315677.170288086,3673169.881591797,2364606.140563965,2322714.529846191,1003429.144348145,2756387.110351563
25-Nov-1961,971921.5116577148,5193853.56817627,3376619.271118164,1874246.06237793,2219500.823364258,1054031.554260254,3222597.013305664
26-Nov-1961,932023.4360351563,5015520.378662109,3579460.222351074,1822513.684997559,2528291.331542969,977535.4970092773,3471267.954162598
