date,WGT_q1_n,WGT_q2_n,WGT_q3_n,WGT_q4_n
01-Oct-2013,4947686.505004883,4631167.305786133,4693125.625854492,4547126.714599609
01-Nov-2013,4738454.426879883,4418561.42590332,4414005.590942383,4493864.630371094
01-Dec-2013,5338233.589111328,4478619.151245117,4667143.251220703,4584063.922973633
01-Jan-2014,5161713.095031738,4691185.904602051,4533503.357055664,4980544.106506348
01-Feb-2014,5853359.985351563,5314701.692016602,5304725.562744141,5471551.390869141
01-Mar-2014,5717149.215698242,5085497.453979492,5189966.311401367,5338504.909301758
01-Apr-2014,5358805.052368164,4841532.8203125,4562405.234741211,4849987.632446289
01-May-2014,5202855.94329834,4699239.549682617,4841366.672180176,4774864.288452148
01-Jun-2014,5101390.606201172,4560555.135375977,4522174.653198242,4629784.525634766
01-Jul-2014,5128563.01159668,4786249.096130371,4411493.329162598,4518820.364807129
01-Aug-2014,4836737.138061523,4478460.970092773,4816954.795654297,4470542.170227051
01-Sep-2014,4534505.319274902,4216435.572570801,4328600.013793945,4048372.572998047
01-Oct-2014,4810609.03314209,4200346.960754395,4028508.445556641,4413859.478637695
01-Nov-2014,3966235.282104492,3540761.20904541,3637572.960021973,3583714.420593262
01-Dec-2014,3913895.287780762,4036203.084960938,3562979.996826172,3529514.45916748
01-Jan-2015,3702135.849487305,3805313.124572754,3673931.204864502,3750537.164642334
01-Feb-2015,4541998.809143066,4193556.311828613,4120843.607635498,4279183.010742188
01-Mar-2015,4721336.697143555,4412927.81072998,4551615.567687988,3954134.715148926
01-Apr-2015,4026714.895721436,3567999.408813477,3686893.966369629,3748705.017822266
01-May-2015,4206057.401550293,3849518.355834961,3779107.290466309,3963537.692260742
01-Jun-2015,4033159.412902832,3627776.873046875,3738391.932250977,3573463.052246094
01-Jul-2015,3534076.324523926,3607360.151184082,3510226.155883789,3598796.629516602
01-Aug-2015,4159368.177978516,3778976.875061035,3816105.874816895,3941666.802856445
01-Sep-2015,3789237.243469238,3491998.662658691,3574731.627563477,3823941.968994141
01-Oct-2015,3780536.192932129,3882550.226318359,3838832.708435059,3913544.248657227
01-Nov-2015,4765295.620361328,4347142.404296875,4167634.088745117,4446395.796936035
01-Dec-2015,4968322.679504395,4501464.436279297,4608845.728759766,4751611.488525391
01-Jan-2016,4845837.808410645,4418612.212646484,4595417.712341309,4707665.74786377
01-Feb-2016,4809261.531982422,4647916.838867188,4662092.329345703,4831996.534667969
01-Mar-2016,4944958.841125488,4764644.924194336,4641539.849365234,4934415.485534668
01-Apr-2016,4757029.831237793,4816245.516601563,4874884.115356445,5011114.288085938
01-May-2016,4771324.858337402,4379909.004089355,4345191.74798584,4495914.980957031
01-Jun-2016,4420557.559020996,4140545.451660156,4100230.227355957,4433624.632324219
01-Jul-2016,4115187.874938965,3939310.443908691,4006252.709350586,4072147.029174805
01-Aug-2016,4337773.260864258,4015192.992004395,4345422.47454834,4299115.023620605
01-Sep-2016,4079221.551879883,4217071.043151855,3977127.020568848,4426755.224304199
01-Oct-2016,4785291.915649414,4395468.574890137,4637778.369262695,4535676.900939941
01-Nov-2016,4691271.025695801,4275128.736633301,4233008.668762207,4315978.547119141
01-Dec-2016,4701190.657226563,4475947.258117676,4459547.176269531,4457188.145385742
01-Jan-2017,4854794.495483398,4361153.957824707,4635329.420715332,4684538.779724121
01-Feb-2017,5165916.148925781,5047553.074645996,5036067.894042969,5311174.285339355
01-Mar-2017,5345017.373779297,4721506.337524414,4796687.844177246,5028074.418945313
01-Apr-2017,4796283.077514648,4800047.611022949,4648836.355895996,4771236.994934082
01-May-2017,4662536.993896484,4604189.839599609,4455743.161193848,4511384.194396973
01-Jun-2017,4757670.006958008,4587663.694458008,4355185.533447266,4428054.85546875
01-Jul-2017,4713375.383666992,4253154.28704834,4221425.622192383,4112735.938598633
01-Aug-2017,5059392.744140625,4513650.108276367,4712123.782897949,4556215.405883789
01-Sep-2017,4903959.180419922,4497038.944396973,4306013.018798828,4740351.751098633
01-Oct-2017,4786435.437438965,4725483.025390625,4456183.501525879,4783483.623596191
01-Nov-2017,4466939.260314941,4589675.754516602,4324178.75402832,4599939.807128906
01-Dec-2017,4669599.745910645,4740700.859313965,4321750.132507324,4641261.268371582
01-Jan-2018,4755338.879516602,4470510.552124023,4318202.581420898,4667954.34173584
01-Feb-2018,5399325.055664063,5115818.599487305,4936216.601257324,5270572.481933594
01-Mar-2018,5319480.539611816,5312793.813720703,4958022.610717773,5392278.782836914
01-Apr-2018,4910669.239624023,4633532.54699707,4687859.855957031,4960412.243408203
01-May-2018,4931629.015136719,4812782.544799805,4705548.895996094,4811058.897521973
01-Jun-2018,4905845.285766602,4512865.428222656,4823771.190063477,4776691.145141602
01-Jul-2018,4526948.960571289,4280420.66809082,4453980.534362793,4614940.352111816
01-Aug-2018,4500915.988037109,4766506.590087891,4304351.5546875,4452587.906860352
01-Sep-2018,4406987.035766602,4190083.539978027,4500654.950927734,4321066.979553223
01-Oct-2018,4440066.994262695,4458699.349731445,4473547.00012207,4542935.840148926
01-Nov-2018,4610257.852600098,4175564.412658691,4310333.757385254,4242201.472290039
01-Dec-2018,4595325.829589844,4473144.103515625,4469146.262329102,4537912.773742676
01-Jan-2019,4784708.656066895,4503923.674072266,4446530.471191406,4392413.762390137
01-Feb-2019,5316773.335083008,5061105.892333984,4797651.5390625,5033503.680297852
01-Mar-2019,5305318.366455078,5195795.889160156,5152331.494750977,5068253.317260742
01-Apr-2019,5171717.010498047,4849012.963012695,4638540.915222168,4865255.412597656
01-May-2019,5140883.751464844,5004710.657226563,4538136.422546387,4624468.203491211
01-Jun-2019,4821040.993652344,4507080.115966797,4463956.928710938,4709636.708007813
01-Jul-2019,5023365.338500977,5195051.736938477,4773615.328613281,5269302.201538086
01-Aug-2019,4531168.787231445,4270823.862548828,4377931.055908203,4175604.385375977
01-Sep-2019,4538294.728515625,4607541.64251709,4404799.800415039,4468338.219360352
01-Oct-2019,4687609.858398438,4600136.990600586,4433435.457885742,4623746.29296875
01-Nov-2019,4421475.597290039,4704179.223510742,4621234.723876953,4916116.075317383
01-Dec-2019,5197694.872558594,4790756.878173828,4736836.594726563,4759607.054321289
01-Jan-2020,4698565.521362305,4563973.824829102,4429136.870483398,4637777.393676758
01-Feb-2020,4897641.014282227,4802396.283752441,4773620.225830078,4887937.519165039
01-Mar-2020,5001462.932678223,5463846.371643066,5166525.715942383,5372929.06628418
01-Apr-2020,4049478.776489258,4031768.592773438,4138438.069824219,4288391.829223633
01-May-2020,4093095.919921875,4288929.626953125,3996482.408203125,4091655.948730469
01-Jun-2020,4618835.452392578,4294050.196655273,4137203.065246582,4483533.829650879
01-Jul-2020,4486218.905273438,4333262.176635742,4425469.163452148,4535346.342407227
01-Aug-2020,4653876.382446289,4674368.565429688,4671590.214599609,4777117.794921875
01-Sep-2020,3970294.294067383,4243506.714904785,4015246.173522949,3970382.149963379
01-Oct-2020,4305506.890014648,4262092.897583008,4422929.755371094,4585799.11126709
01-Nov-2020,4383574.150878906,4194591.119384766,4155494.080932617,4333127.433837891
01-Dec-2020,4357705.749389648,4635342.916992188,4395695.013183594,4569376.408691406
01-Jan-2021,4583191.565307617,4422340.347290039,4706712.940673828,4810372.588378906
01-Feb-2021,5211994.266845703,5134803.102172852,5358288.42578125,5211741.880126953
01-Mar-2021,4491008.776611328,4582863.822509766,4905471.678100586,4710444.228759766
01-Apr-2021,4040479.709472656,4071759.349487305,4200136.529785156,4544552.910766602
01-May-2021,3894073.011352539,3748107.196166992,3813220.004211426,4030315.895263672
01-Jun-2021,3675337.947021484,3567060.228271484,3649237.127807617,3933610.62878418
01-Jul-2021,3614624.254516602,3305900.224731445,3329937.336914063,3657873.253234863
01-Aug-2021,3625087.675537109,3650376.564819336,3623276.114868164,3660092.780151367
01-Sep-2021,4131428.157226563,3866040.394165039,3987336.399902344,4241145.528320313
01-Oct-2021,4364600.425048828,3911592.71472168,4305809.145019531,4556294.57434082
01-Nov-2021,4710440.595825195,4637223.271118164,4277803.86706543,4673763.388671875
01-Dec-2021,3968368.884643555,4228950.014160156,4061680.035766602,4044257.531738281
01-Jan-2022,4142389.725585938,4137819.969604492,4260139.686767578,4447693.642211914
01-Feb-2022,4869871.639282227,4596024.07019043,4781773.3046875,4814711.70300293
01-Mar-2022,4943433.319091797,4779763.73828125,4656004.772460938,5021442.288818359
01-Apr-2022,4568221.110595703,4439785.501342773,4506097.98815918,4811911.493896484
01-May-2022,4130082.172729492,4536199.623168945,4145312.556640625,4125748.83996582
01-Jun-2022,4122969.414550781,4493209.55065918,4297253.809448242,4355497.817993164
01-Jul-2022,4453697.163574219,4173247.270629883,4030568.157226563,4390133.865844727
01-Aug-2022,4268690.890991211,4243675.126953125,4301830.648193359,4211510.270385742
01-Sep-2022,4161336.891723633,4095305.109619141,4179288.904296875,4031540.999023438
01-Oct-2022,4476491.817626953,4062600.466308594,4337178.598754883,4623903.626586914
01-Nov-2022,4430439.12298584,4199423.066162109,4095207.763549805,4607578.695739746
01-Dec-2022,4348130.960571289,4434126.23828125,4236396.293334961,4424663.034423828
01-Jan-2023,4643706.943725586,4527693.474975586,4502268.010986328,4654797.789306641
01-Feb-2023,5057182.250366211,4994735.694335938,4705105.716186523,5302245.070556641
01-Mar-2023,5197232.629760742,5023136.577636719,4843112.739379883,5198736.736694336
01-Apr-2023,4980003.565063477,4931936.670288086,4492824.53894043,4939652.594848633
01-May-2023,4808821.52331543,4943963.78527832,4754213.499267578,4949709.934570313
01-Jun-2023,4637336.155517578,4667924.577026367,4490172.536376953,4894950.62890625
01-Jul-2023,4937983.866699219,4498472.186645508,4561065.102172852,5010543.361328125
01-Aug-2023,4791453.101806641,4550830.815307617,4642674.606201172,4791128.416870117
01-Sep-2023,4648043.487915039,4370902.067626953,4549162.470825195,4587517.16796875
